Distrito,Matrículas no ensino básico em escolas públicas,Idade média ao morrer,Acesso internet móvel (por área/km²),Equipamentos públicos de cultura,Ideb (Escolas públicas - anos iniciais),Ideb (Escolas públicas - anos finais),Equipamentos públicos de esporte,Homicídios,Favelas,Gravidez na adolescência,Mortalidade materna,Mortalidade infantil,Tempo médio para consultas na atenção básica,Incidência de dengue,Abandono escolar no ensino fundamental da rede municipal,Esforço docente,Emissão de poluentes atmosféricos por área (kg/km²/dia),Violência racial,Tempo de atendimento para vaga em creche,Adequação da formação docente,Distorção idade-série no ensino fundamental da rede municipal,Tempo médio de deslocamento por transporte público,Mortalidade por doenças do aparelho respiratório,Violência contra a mulher (todas)
RAPOSO TAVARES,92.22722401,68,2.333065165,0.917,5.681818182,4.75,0.1843165083,10.2,10.8904,7.416,0.0,8.811,8.0,87.1,1.372637264,5.857692308,0.2056214251,1.574555188,6,5.866666667,4.8,50,55.93661739,201.9685886
VILA SONIA,65.76509818,71,6.606606607,0.0,5.533333333,5.0,0.4056235651,3.3,22.5006,6.364,54.71956224,9.917,4.0,105.6,1.115760112,9.45,0.4503943857,1.224849752,4,6.146666667,5.96,35,68.50750359,173.3893046
TATUAPE,48.09770446,77,9.635722679,5.1897,5.7,5.3,0.1038993423,4.2,1.4562,1.825,0.0,7.299,17.0,96.5,1.572327044,8.816666667,0.5584811053,3.224229565,8,6.777777778,6.733333333,32,111.0592143,352.9255672
SAO MATEUS,79.61938714,67,4.290171607,0.6394,5.6,4.8,0.3844576584,5.1,6.1489,8.707,33.73819163,8.342,34.0,44.8,1.055363322,6.1,0.4481177956,0.8967633249,3,4.228571429,3.8,49,114.4515915,268.1992337
ARICANDUVA,74.12510478,71,3.448275862,0.0,5.9,5.7,0.35035678,1.2,1.0574,6.557,35.58718861,13.115,27.0,79.5,1.52931181,9.6625,0.3995624241,1.166221559,7,5.258333333,6.3,43,143.8546016,243.3882005
VILA MEDEIROS,83.00150645,71,4.198473282,0.0,5.38,4.78,0.1628545139,8.9,2.967,6.699,91.32420091,7.597,15.0,244.1,1.986960571,6.9,0.3292514448,1.299397404,6,5.493333333,6.94,41,120.0166554,282.6616572
MOOCA,53.27950027,77,7.421383648,2.4763,5.6,5.6,0.2480712461,3.7,0.1693,4.714,0.0,12.857,9.0,68.1,1.798063624,12.825,0.3142405951,0.6097510276,15,8.066666667,5.6,32,154.7680955,334.5896147
SANTANA,43.21742185,77,7.18105424,2.6908,5.3,4.9,0.1784471529,5.3,0.2333,2.629,0.0,8.762,37.0,305.0,6.649778341,6.6625,0.3839221869,3.994106474,7,6.991666667,11.05,33,149.7865318,311.783196
FREGUESIA DO O,75.91588533,71,4.718693285,2.8625,5.7,4.8,0.9295408068,3.6,4.0194,6.785,51.73305742,16.155,14.0,188.9,1.302031959,8.425,0.3620417093,1.857540902,4,5.416666667,5.1875,41,123.089254,285.2607273
CIDADE DUTRA,72.98271836,68,3.968537719,0.0,5.925,5.166666667,0.8314910101,3.4,8.6429,7.812,79.27699382,10.516,16.0,49.7,1.572930956,7.953571429,0.2544876165,1.22674701,5,7.514285714,5.221428571,45,78.49446638,234.9832408
