Macrorregiao,Subprefeitura,Distrito,Total,Tipo_Beneficio,Mes,Ano
OESTE,BUTANTA,MORUMBI,366,PCD,SETEMBRO,2024
OESTE,BUTANTA,RAPOSO TAVARES,1433,PCD,SETEMBRO,2024
OESTE,BUTANTA,RIO PEQUENO,1429,PCD,SETEMBRO,2024
OESTE,BUTANTA,VILA SONIA,1183,PCD,SETEMBRO,2024
OESTE,LAPA,BARRA FUNDA,154,PCD,SETEMBRO,2024
OESTE,LAPA,JAGUARA,307,PCD,SETEMBRO,2024
OESTE,LAPA,JAGUARE,394,PCD,SETEMBRO,2024
OESTE,LAPA,LAPA,570,PCD,SETEMBRO,2024
OESTE,LAPA,PERDIZES,540,PCD,SETEMBRO,2024
OESTE,LAPA,VILA LEOPOLDINA,240,PCD,SETEMBRO,2024
OESTE,PINHEIROS,ALTO DE PINHEIROS,162,PCD,SETEMBRO,2024
OESTE,PINHEIROS,ITAIM BIBI,492,PCD,SETEMBRO,2024
OESTE,PINHEIROS,JARDIM PAULISTA,306,PCD,SETEMBRO,2024
OESTE,PINHEIROS,PINHEIROS,378,PCD,SETEMBRO,2024
SUL 1,IPIRANGA,CURSINO,1230,PCD,SETEMBRO,2024
SUL 1,IPIRANGA,IPIRANGA,1195,PCD,SETEMBRO,2024
SUL 1,IPIRANGA,SACOMA,2880,PCD,SETEMBRO,2024
SUL 1,JABAQUARA,JABAQUARA,3245,PCD,SETEMBRO,2024
SUL 1,VILA MARIANA,MOEMA,232,PCD,SETEMBRO,2024
SUL 1,VILA MARIANA,SAUDE,935,PCD,SETEMBRO,2024
SUL 1,VILA MARIANA,VILA MARIANA,920,PCD,SETEMBRO,2024
SUL 2,CAMPO LIMPO,CAMPO LIMPO,3290,PCD,SETEMBRO,2024
SUL 2,CAMPO LIMPO,CAPAO REDONDO,4463,PCD,SETEMBRO,2024
SUL 2,CAMPO LIMPO,VILA ANDRADE,1027,PCD,SETEMBRO,2024
SUL 2,CAPELA DO SOCORRO,CIDADE DUTRA,3469,PCD,SETEMBRO,2024
SUL 2,CAPELA DO SOCORRO,GRAJAU,6446,PCD,SETEMBRO,2024
SUL 2,CAPELA DO SOCORRO,SOCORRO,518,PCD,SETEMBRO,2024
SUL 2,CIDADE ADEMAR,CIDADE ADEMAR,4710,PCD,SETEMBRO,2024
SUL 2,CIDADE ADEMAR,PEDREIRA,2543,PCD,SETEMBRO,2024
SUL 2,MBOI MIRIM,JARDIM ANGELA,5002,PCD,SETEMBRO,2024
SUL 2,MBOI MIRIM,JARDIM SAO LUIS,3982,PCD,SETEMBRO,2024
SUL 2,PARELHEIROS,MARSILAC,366,PCD,SETEMBRO,2024
SUL 2,PARELHEIROS,PARELHEIROS,3006,PCD,SETEMBRO,2024
SUL 2,SANTO AMARO,CAMPO BELO,599,PCD,SETEMBRO,2024
SUL 2,SANTO AMARO,CAMPO GRANDE,1019,PCD,SETEMBRO,2024
SUL 2,SANTO AMARO,SANTO AMARO,793,PCD,SETEMBRO,2024
CENTRO,SE,BELA VISTA,304,PCD,SETEMBRO,2024
CENTRO,SE,BOM RETIRO,325,PCD,SETEMBRO,2024
CENTRO,SE,CAMBUCI,244,PCD,SETEMBRO,2024
CENTRO,SE,CONSOLACAO,81,PCD,SETEMBRO,2024
