Nome,Região,Período,Resultado
010101 QUANTIDADE DE FAMILIAS EM SITUACAO DE EXTREMA POBREZA (ATE 14 SALARIO MINIMO),BELA VISTA (DISTRITO),2020,2262
010101 QUANTIDADE DE FAMILIAS EM SITUACAO DE EXTREMA POBREZA (ATE 14 SALARIO MINIMO),BELA VISTA (DISTRITO),2016,1090
010101 QUANTIDADE DE FAMILIAS EM SITUACAO DE EXTREMA POBREZA (ATE 14 SALARIO MINIMO),BELA VISTA (DISTRITO),2018,4162
010101 QUANTIDADE DE FAMILIAS EM SITUACAO DE EXTREMA POBREZA (ATE 14 SALARIO MINIMO),BELA VISTA (DISTRITO),2023,3040
010101 QUANTIDADE DE FAMILIAS EM SITUACAO DE EXTREMA POBREZA (ATE 14 SALARIO MINIMO),BELA VISTA (DISTRITO),2013,725
010101 QUANTIDADE DE FAMILIAS EM SITUACAO DE EXTREMA POBREZA (ATE 14 SALARIO MINIMO),BELA VISTA (DISTRITO),2022,2554
010101 QUANTIDADE DE FAMILIAS EM SITUACAO DE EXTREMA POBREZA (ATE 14 SALARIO MINIMO),BELA VISTA (DISTRITO),2021,1967
010101 QUANTIDADE DE FAMILIAS EM SITUACAO DE EXTREMA POBREZA (ATE 14 SALARIO MINIMO),BELEM (DISTRITO),2019,7311
010101 QUANTIDADE DE FAMILIAS EM SITUACAO DE EXTREMA POBREZA (ATE 14 SALARIO MINIMO),BELEM (DISTRITO),2020,6681
010101 QUANTIDADE DE FAMILIAS EM SITUACAO DE EXTREMA POBREZA (ATE 14 SALARIO MINIMO),BELEM (DISTRITO),2023,5997
010101 QUANTIDADE DE FAMILIAS EM SITUACAO DE EXTREMA POBREZA (ATE 14 SALARIO MINIMO),BELEM (DISTRITO),2016,1387
010101 QUANTIDADE DE FAMILIAS EM SITUACAO DE EXTREMA POBREZA (ATE 14 SALARIO MINIMO),BELEM (DISTRITO),2014,639
010101 QUANTIDADE DE FAMILIAS EM SITUACAO DE EXTREMA POBREZA (ATE 14 SALARIO MINIMO),BELEM (DISTRITO),2022,6416
010101 QUANTIDADE DE FAMILIAS EM SITUACAO DE EXTREMA POBREZA (ATE 14 SALARIO MINIMO),BELEM (DISTRITO),2021,6633
010101 QUANTIDADE DE FAMILIAS EM SITUACAO DE EXTREMA POBREZA (ATE 14 SALARIO MINIMO),BELEM (DISTRITO),2013,482
010101 QUANTIDADE DE FAMILIAS EM SITUACAO DE EXTREMA POBREZA (ATE 14 SALARIO MINIMO),BELEM (DISTRITO),2024,4950
010101 QUANTIDADE DE FAMILIAS EM SITUACAO DE EXTREMA POBREZA (ATE 14 SALARIO MINIMO),BELEM (DISTRITO),2025,3874
010101 QUANTIDADE DE FAMILIAS EM SITUACAO DE EXTREMA POBREZA (ATE 14 SALARIO MINIMO),BELEM (DISTRITO),2015,892
010101 QUANTIDADE DE FAMILIAS EM SITUACAO DE EXTREMA POBREZA (ATE 14 SALARIO MINIMO),BELEM (DISTRITO),2018,7152
010101 QUANTIDADE DE FAMILIAS EM SITUACAO DE EXTREMA POBREZA (ATE 14 SALARIO MINIMO),BELEM (DISTRITO),2017,4406
010101 QUANTIDADE DE FAMILIAS EM SITUACAO DE EXTREMA POBREZA (ATE 14 SALARIO MINIMO),BOM RETIRO (DISTRITO),2021,2992
010101 QUANTIDADE DE FAMILIAS EM SITUACAO DE EXTREMA POBREZA (ATE 14 SALARIO MINIMO),BOM RETIRO (DISTRITO),2025,4664
010101 QUANTIDADE DE FAMILIAS EM SITUACAO DE EXTREMA POBREZA (ATE 14 SALARIO MINIMO),BOM RETIRO (DISTRITO),2017,1704
